roi_id,type,lat,lon,ELEV_mean_0,ELEV_stddev_0,ELEV_min_0,ELEV_max_0,LCT_mean_0,LCT_stddev_0,LCT_min_0,LCT_max_0,NDVI_mean_0,NDVI_stddev_0,NDVI_min_0,NDVI_max_0,WATERBODY_count_0,WATERBODY_mean_0,WATERBODY_stddev_0,WATERBODY_min_0,WATERBODY_max_0,CAPE0_mean_4,CAPE0_stddev_4,CAPE0_min_4,CAPE0_max_4,CAPE1_mean_4,CAPE1_stddev_4,CAPE1_min_4,CAPE1_max_4,CAPE2_mean_4,CAPE2_stddev_4,CAPE2_min_4,CAPE2_max_4,CAPE3_mean_4,CAPE3_stddev_4,CAPE3_min_4,CAPE3_max_4,HTFL_RH_mean_4,HTFL_RH_stddev_4,HTFL_RH_min_4,HTFL_RH_max_4,SMOIS0_mean_4,SMOIS0_stddev_4,SMOIS0_min_4,SMOIS0_max_4,TCUM_CLOUD_count_4,TCUM_CLOUD_mean_4,TCUM_CLOUD_stddev_4,TCUM_CLOUD_min_4,TCUM_CLOUD_max_4,TSOIL0_mean_4,TSOIL0_stddev_4,TSOIL0_min_4,TSOIL0_max_4,UGRD_mean_4,UGRD_stddev_4,UGRD_min_4,UGRD_max_4,VGRD_mean_4,VGRD_stddev_4,VGRD_min_4,VGRD_max_4,WINDCONV_mean_4,WINDCONV_stddev_4,WINDCONV_min_4,WINDCONV_max_4
441b25d4-4d5f-4875-9404-5ddcee8756d5,1,31.449348,-85.034596,80.827897,20.036094,28.0,130.0,8.425271,2.445731,0.0,13.0,7601.016832,844.669604,64.0,9066.0,3,1.0,0.0,1.0,1.0,3495.555556,96.506892,3360.0,3620.0,3391.111111,98.48231,3240.0,3520.0,3495.555556,96.506892,3360.0,3620.0,3280.0,126.491106,3100.0,3480.0,54.222222,2.249829,52.0,59.0,0.136599,0.046727,0.059,0.25,20,1.0,0.0,1.0,1.0,31.492299,0.419289,30.405,32.774,0.977525,0.190435,0.713636,1.213636,-0.249821,0.440083,-1.027598,0.347402,4.1e-05,1.8e-05,9e-06,6e-05
16f353b2-b4d7-489c-aa2a-01215eac1169,1,32.75067,-89.376372,131.472973,15.793407,100.0,183.0,6.496574,1.738931,1.0,13.0,8500.545026,665.99387,2212.0,9626.0,0,0.0,0.0,0.0,0.0,2460.0,185.711844,2200.0,2780.0,2371.111111,171.557858,2140.0,2660.0,2460.0,185.711844,2200.0,2780.0,2233.333333,155.777619,2020.0,2480.0,57.555556,4.24555,51.0,64.0,0.200957,0.029915,0.099,0.275,63,1.0,0.0,1.0,1.0,30.434662,0.809706,28.52,32.803,2.005303,0.102062,1.838636,2.088636,-0.444265,0.186339,-0.652598,-0.027598,2e-06,6e-06,-9e-06,1.4e-05
57d8023d-38b5-4575-9527-f181eae0d4b4,1,32.230083,-88.401117,98.396968,33.374707,36.0,181.0,5.738833,1.310517,1.0,8.0,8278.646765,686.33577,1794.0,9971.0,0,0.0,0.0,0.0,0.0,2166.666667,54.160256,2100.0,2280.0,2068.888889,53.425846,2000.0,2180.0,2166.666667,54.160256,2100.0,2280.0,1833.333333,59.628479,1760.0,1960.0,58.444444,4.597369,52.0,66.0,0.206079,0.031001,0.148,0.27,39,1.0,0.0,1.0,1.0,30.662443,0.57517,29.623,32.15,0.130303,0.25,-0.286364,0.463636,1.166846,0.085617,1.097402,1.347402,-1.3e-05,8e-06,-2.3e-05,-5e-06
7179d4c9-1526-4722-8ca5-13a130440143,1,30.670447,-86.231329,57.593468,17.205575,2.0,94.0,6.889089,2.679618,1.0,13.0,6986.886279,1035.388799,762.0,9107.0,0,0.0,0.0,0.0,0.0,3542.222222,119.422479,3360.0,3700.0,3280.0,117.378779,3100.0,3440.0,3542.222222,119.422479,3360.0,3700.0,2944.444444,168.596238,2680.0,3240.0,61.444444,4.763545,54.0,69.0,0.151042,0.038948,0.056,0.231,3,1.0,0.0,1.0,1.0,30.116437,0.761657,28.396,32.124,0.394192,0.312423,-0.036364,0.838636,-0.541487,0.30302,-0.902598,-0.027598,-1.4e-05,2.1e-05,-3.2e-05,2.3e-05
4b807705-0ae8-4193-9aab-921644997c0b,1,34.379727,-85.503889,289.204596,99.005476,172.0,548.0,6.450415,2.3266,0.0,13.0,8091.858162,721.403954,-1969.0,9180.0,1,1.0,0.0,1.0,1.0,2620.0,392.371706,1860.0,3120.0,2504.444444,393.703529,1740.0,3000.0,2620.0,392.371706,1860.0,3120.0,2126.666667,323.316151,1440.0,2440.0,79.888889,1.36987,78.0,82.0,0.215432,0.033144,0.128,0.292,0,0.0,0.0,0.0,0.0,25.794734,0.636668,24.489,27.482,0.338636,0.634648,-0.661364,1.463636,0.444624,0.342467,-0.027598,0.972402,-1.6e-05,1.4e-05,-4.6e-05,0.0
4e2e040f-d7dd-4427-8cab-07e42e5e88ca,1,32.393738,-89.537075,131.347214,10.267683,104.0,170.0,6.659697,1.953013,1.0,13.0,8540.365374,578.773753,2882.0,9670.0,0,0.0,0.0,0.0,0.0,2560.0,118.509259,2360.0,2720.0,2480.0,102.848324,2300.0,2620.0,2560.0,118.509259,2360.0,2720.0,2373.333333,109.949483,2200.0,2540.0,51.666667,2.357023,47.0,55.0,0.22419,0.043684,0.094,0.318,47,1.0,0.0,1.0,1.0,29.688343,0.527861,28.746,31.124,2.060859,0.310565,1.463636,2.588636,0.069624,0.376284,-0.527598,0.597402,3e-06,1.7e-05,-2.8e-05,2.3e-05
de6547ee-f737-4f83-a1bd-150a78660156,1,30.706702,-84.815552,50.849269,25.214687,14.0,102.0,6.856577,3.100068,0.0,16.0,7607.031324,1414.116181,-1569.0,9333.0,103,1.0,0.0,1.0,1.0,3555.555556,104.892655,3420.0,3700.0,3271.111111,102.896328,3120.0,3420.0,3555.555556,104.892655,3420.0,3700.0,3108.888889,115.127412,2940.0,3260.0,68.555556,5.813989,60.0,76.0,0.111758,0.041406,0.023,0.212,4,1.0,0.0,1.0,1.0,31.249539,0.511769,30.026,32.692,1.227525,0.199343,0.963636,1.588636,-1.388709,0.360577,-1.902598,-0.902598,-1.2e-05,7e-06,-2.3e-05,0.0
72fe4e81-9daa-4118-8ada-4a3fae2229c0,1,33.650878,-87.738868,134.339527,25.811713,79.0,221.0,5.915376,1.64877,4.0,13.0,8399.334165,518.474654,2944.0,9279.0,0,0.0,0.0,0.0,0.0,2211.111111,145.177626,2000.0,2460.0,2144.444444,138.492768,1940.0,2380.0,2211.111111,145.177626,2000.0,2460.0,2044.444444,148.706356,1820.0,2300.0,58.111111,1.196703,56.0,60.0,0.188243,0.029942,0.083,0.273,24,1.0,0.0,1.0,1.0,29.4202,0.677673,27.032,30.875,1.616414,0.262055,1.213636,1.963636,0.389068,0.131762,0.222402,0.597402,-1.2e-05,1e-05,-2.8e-05,0.0
50b02da0-e944-4d01-8df4-18350084784c,1,32.10939,-88.408059,97.034212,30.378773,26.0,169.0,5.571892,1.208291,1.0,8.0,8295.833772,751.56757,823.0,9971.0,0,0.0,0.0,0.0,0.0,2222.222222,66.295262,2120.0,2340.0,2120.0,64.635731,2020.0,2240.0,2222.222222,66.295262,2120.0,2340.0,1893.333333,77.746025,1780.0,2040.0,60.666667,5.011099,53.0,69.0,0.202139,0.027354,0.149,0.27,27,1.0,0.0,1.0,1.0,30.710759,0.573852,29.626,32.26,0.17197,0.235702,-0.286364,0.463636,1.139068,0.131762,0.847402,1.347402,-2e-05,1.1e-05,-4.2e-05,-5e-06
2bb56ae1-34d5-4daf-9b83-eaac6101539b,1,34.658999,-88.842138,153.376126,20.850021,107.0,213.0,6.969741,2.44739,1.0,13.0,8507.913227,416.308576,3480.0,9408.0,0,0.0,0.0,0.0,0.0,2053.333333,207.632153,1800.0,2320.0,1886.666667,207.632153,1620.0,2160.0,2053.333333,207.632153,1800.0,2320.0,1657.777778,194.237986,1420.0,1920.0,54.666667,1.054093,53.0,56.0,0.195638,0.035225,0.095,0.269,0,0.0,0.0,0.0,0.0,28.770894,0.714516,26.66,30.049,1.185859,0.459384,0.463636,1.963636,1.819624,0.141639,1.597402,2.097402,-4.1e-05,9e-06,-5.5e-05,-2.3e-05
